original_title,date_published,genre,duration,country,language_1,director,writer,actors,description,avg_vote,votes,budget,worlwide_gross_income,reviews_from_users,profit
Nueve reinas,2003-05-16,"Crime, Drama, Thriller",114,Argentina,Spanish,Fabián Bielinsky,Fabián Bielinsky,"Gastón Pauls, Ricardo Darín, Graciela Tenenbaum, María Mercedes Villagra, Gabo Correa, Pochi Ducasse, Luis Armesto, Ernesto Arias, Amancay Espíndola, Isaac Fajm, Jorge Noya, Leticia Brédice, Oscar Nuñez, Ignasi Abadal, Carlos Lanari","Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"").",7.9,48823,1500000,12413888,129,10913888
The Princess Diaries,2001-10-26,"Comedy, Family, Romance",111,"USA, UK",English,Garry Marshall,"Meg Cabot, Gina Wendkos","Julie Andrews, Anne Hathaway, Hector Elizondo, Heather Matarazzo, Mandy Moore, Caroline Goodall, Robert Schwartzman, Erik von Detten, Patrick John Flueger, Sean O'Bryan, Sandra Oh, Kathleen Marshall, Mindy Burbano, Kimleigh Smith, Elizabeth Gudenrath","Mia Thermopolis has just found out that she is the heir apparent to the throne of Genovia. With her friends Lilly and Michael Moscovitz in tow, she tries to navigate through the rest of her sixteenth year.",6.3,125180,26000000,165335153,328,139335153
Super Troopers,2003-08-08,"Comedy, Crime, Mystery",100,USA,English,Jay Chandrasekhar,"Jay Chandrasekhar, Kevin Heffernan","André Vippolis, Joey Kern, Geoffrey Arend, Erik Stolhanske, Jay Chandrasekhar, Steve Lemme, Kevin Heffernan, Paul Soter, Camille Hickman, Marisa Coughlan, Aria Alpert Adjani, Daniel von Bargen, James Grace, Michael Weaver, Dan Fey","Five Vermont state troopers, avid pranksters with a knack for screwing up, try to save their jobs and out-do the local police department by solving a crime.",7.1,94874,3000000,23182223,354,20182223
Kabhi Khushi Kabhie Gham...,2001-12-14,"Drama, Musical, Romance",210,India,Hindi,Karan Johar,"Karan Johar, Sheena Parikh","Amitabh Bachchan, Jaya Bachchan, Shah Rukh Khan, Kajol, Hrithik Roshan, Kareena Kapoor, Farida Jalal, Jibraan Khan, Rani Mukerji, Alok Nath, Johnny Lever, Achala Sachdev, Himani Shivpuri, Aryan Khan, Sushma Seth","After marrying a poor woman, rich Rahul is disowned by his father and moves to London to build a new life. Years later, his now grown up little brother Rohan embarks on a mission to bring Rahul back home and reunite the family again.",7.4,43897,7500000,11334547,133,3834547
Der Schuh des Manitu,2001-07-19,"Comedy, Western",87,"Germany, Spain",German,Michael Herbig,"Michael Herbig, Alfons Biedermann","Michael Herbig, Christian Tramitz, Sky du Mont, Marie Bäumer, Hilmi Sözer, Rick Kavanian, Tim Wilde, Siegfried Terpoorten, Robinson Reichel, Oliver Wnuk, Irshad Panjatan, Tim Sikyea, Robert Alan Packard, Salvatore Pascale, Antonio Ramirez","The hilarious adventures of two best friends, Apachi Indian chief Abahachi and cowboy Ranger, in the Wild West.",6.7,16973,3773000,75675074,51,71902074
Ali,2002-03-01,"Biography, Drama, Sport",157,USA,English,Michael Mann,"Gregory Allen Howard, Stephen J. Rivele","Will Smith, Jamie Foxx, Jon Voight, Mario Van Peebles, Ron Silver, Jeffrey Wright, Mykelti Williamson, Jada Pinkett Smith, Nona Gaye, Michael Michele, Joe Morton, Paul Rodriguez, Bruce McGill, Barry Shabaka Henley, Giancarlo Esposito","A biography of sports legend Muhammad Ali, focusing on his triumphs and controversies between 1964 and 1974",6.8,92433,107000000,87812729,397,-19187271
Hedwig and the Angry Inch,2001-11-16,"Comedy, Drama, Music",95,USA,English,John Cameron Mitchell,"John Cameron Mitchell, Stephen Trask","John Cameron Mitchell, Miriam Shor, Stephen Trask, Theodore Liscinski, Rob Campbell, Michael Aronov, Andrea Martin, Ben Mayer-Goodman, Alberta Watson, Gene Pyrz, Michael Pitt, Karen Hines, Max Toulch, Maurice Dean Wint, Ermes Blarasin",A transgender punk-rock girl from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.,7.7,31483,6000000,3644200,237,-2355800
Werckmeister harmóniák,2001-02-01,"Drama, Mystery",145,"Hungary, Italy, Germany, France",Hungarian,"Béla Tarr, Ágnes Hranitzky","László Krasznahorkai, László Krasznahorkai","Lars Rudolph, Peter Fitz, Hanna Schygulla, János Derzsi, Djoko Rosic, Tamás Wichmann, Ferenc Kállai, Mihály Kormos, Putyi Horváth, Enikö Börcsök, Éva Almássy Albert, Irén Szajki, Alfréd Járai, György Barkó, Lajos Dobák","An innocent young man witnesses violence break out after an isolated village is inflamed by the arrival of a circus and its peculiar attractions: a giant whale and a mysterious man named ""The Prince.""",8.2,12377,1600000,25461,60,-1574539
Asoka,2001-10-26,"Action, Biography, Drama",176,India,Hindi,Santosh Sivan,"Saket Chaudhary, Santosh Sivan","Shah Rukh Khan, Kareena Kapoor, Danny Denzongpa, Hrishitaa Bhatt, Rahul Dev, Ajith Kumar, Gerson Da Cunha, Subhashini Ali, Umesh Mehra, Sooraj Balaji, Johnny Lever, Raghuvir Yadav, Suresh Menon, Shilpa Mehta, Rajlaxmi R. Roy",The epic tale of King Asoka's life is recounted here.,6.5,13047,1560000,1340718,101,-219282
Billy Elliot,2001-02-23,"Drama, Music",110,"UK, France",English,Stephen Daldry,Lee Hall,"Jamie Bell, Jean Heywood, Jamie Draven, Gary Lewis, Stuart Wells, Mike Elliot, Billy Fane, Nicola Blackwell, Julie Walters, Carol McGuigan, Joe Renton, Colin MacLachlan, Janine Birkett, Trevor Fox, Charlie Hardwick",A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.,7.7,124065,5000000,109281538,468,104281538
Domestic Disturbance,2002-04-05,"Crime, Mystery, Thriller",89,USA,English,Harold Becker,"Lewis Colick, William S. Comanor","John Travolta, Matt O'Leary, Ruben Santiago-Hudson, Vince Vaughn, Susan Floyd, Teri Polo, Angelica Page, James Lashly, Rebecca Tilney, Debra Mooney, Leland L. Jones, William Parry, Steve Buscemi, Suzanne Nystrom, George Christy","When Danny witnesses his stepfather Rick murder a man, Danny's father Frank has to protect his son from the greatest danger.",5.6,24178,75000000,54249294,193,-20750706
Astérix & Obélix: Mission Cléopâtre,2002-09-20,"Adventure, Comedy, Family",107,"France, Germany",French,Alain Chabat,"René Goscinny, Albert Uderzo","Gérard Depardieu, Christian Clavier, Jamel Debbouze, Monica Bellucci, Alain Chabat, Claude Rich, Gérard Darmon, Edouard Baer, Dieudonné, Mouss Diouf, Marina Foïs, Bernard Farcy, Jean Benguigui, Michel Crémadès, Jean-Paul Rouve",Astérix and Obélix go to Egypt to help architect Numérobis who is building a palace for Cleopatra.,6.6,48035,52320000,128027976,67,75707976
Crazy/Beautiful,2001-09-14,"Drama, Romance",99,USA,English,John Stockwell,"Phil Hay, Matt Manfredi","Kirsten Dunst, Jay Hernandez, Bruce Davison, Herman Osorio, Miguel Castro, Tommy De La Cruz, Rolando Molina, Soledad St. Hilaire, Lucinda Jenney, Taryn Manning, Richard Steinmetz, Ana Argueta, Neil Looy, Marion Moseley, Mike Jones","At Pacific Palisades High, a poor Latino falls hard for a troubled girl from an affluent neighborhood.",6.5,23602,13000000,19937988,166,6937988
