original_title,date_published,genre,duration,country,language_1,director,writer,actors,description,avg_vote,votes,budget,worlwide_gross_income,reviews_from_users,profit
Kate & Leopold,2002-03-01,"Comedy, Fantasy, Romance",118,USA,English,James Mangold,"Steven Rogers, James Mangold","Meg Ryan, Hugh Jackman, Liev Schreiber, Breckin Meyer, Natasha Lyonne, Bradley Whitford, Paxton Whitehead, Spalding Gray, Josh Stamberg, Matthew Sussman, Charlotte Ayanna, Philip Bosco, Andrew Jack, Stan Tracy, Kristen Schaal",An English Duke from 1876 is inadvertedly dragged to modern day New York where he falls for a plucky advertising executive.,6.4,77852,48000000,76019048,341,28019048
Glitter,2001-11-30,"Drama, Music, Romance",104,USA,English,Vondie Curtis-Hall,"Cheryl L. West, Kate Lanier","Mariah Carey, Max Beesley, Da Brat, Tia Texada, Valarie Pettiford, Ann Magnuson, Terrence Howard, Dorian Harewood, Grant Nickalls, Eric Benét, Padma Lakshmi, Don Ackerman, Ed Sahely, Carmen Wong, James Allodi","A young singer dates a disc jockey who helps her get into the music business, but their relationship become complicated as she ascends to super stardom.",2.2,21298,22000000,5271666,319,-16728334
Chicken Run,2000-12-15,"Animation, Adventure, Comedy",84,"UK, USA, France",English,"Peter Lord, Nick Park","Peter Lord, Nick Park","Phil Daniels, Lynn Ferguson, Mel Gibson, Tony Haygarth, Jane Horrocks, Miranda Richardson, Julia Sawalha, Timothy Spall, Imelda Staunton, Benjamin Whitrow","When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.",7,173987,45000000,224834564,393,179834564
Fantastic Four,2005-09-16,"Action, Adventure, Fantasy",106,"USA, Germany",English,Tim Story,"Mark Frost, Michael France","Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis, Julian McMahon, Hamish Linklater, Kerry Washington, Laurie Holden, David Parker, Kevin McNulty, Maria Menounos, Michael Kopsa, Andrew Airlie, Pascale Hutton, G. Michael Gray","A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.",5.7,307944,100000000,333535934,1029,233535934
Frida,2003-01-17,"Biography, Drama, Romance",123,"Mexico, USA, Canada",English,Julie Taymor,"Hayden Herrera, Clancy Sigal","Salma Hayek, Mía Maestro, Amelia Zapata, Alejandro Usigli, Diego Luna, Alfred Molina, Lucia Bravo, Valeria Golino, Patricia Reyes Spíndola, Loló Navarro, Roger Rees, Fermín Martínez, Roberto Medina, Ashley Judd, Antonio Banderas","A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work",7.4,79690,12000000,56298474,297,44298474
From Hell,2001-12-21,"Horror, Mystery, Thriller",122,"USA, Czech Republic, UK",English,"Albert Hughes, Allen Hughes","Alan Moore, Eddie Campbell","Johnny Depp, Heather Graham, Ian Holm, Robbie Coltrane, Ian Richardson, Jason Flemyng, Katrin Cartlidge, Terence Harvey, Susan Lynch, Paul Rhys, Lesley Sharp, Estelle Skornik, Nicholas McGaughey, Annabelle Apsion, Joanna Page","In Victorian-era London, a troubled clairvoyant police detective investigates the murders of Jack the Ripper.",6.8,144714,35000000,74558115,556,39558115
The Lord of the Rings: The Fellowship of the Ring,2002-01-18,"Action, Adventure, Drama",178,"New Zealand, USA",English,Peter Jackson,"J.R.R. Tolkien, Fran Walsh","Alan Howard, Noel Appleby, Sean Astin, Sala Baker, Sean Bean, Cate Blanchett, Orlando Bloom, Billy Boyd, Marton Csokas, Megan Edwards, Michael Elsworth, Mark Ferguson, Ian Holm, Christopher Lee, Lawrence Makoare",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,8.8,1619920,93000000,887934303,5392,794934303
The Million Dollar Hotel,2000-03-31,"Drama, Mystery, Thriller",122,"Germany, UK, USA",English,Wim Wenders,"Nicholas Klein, Bono","Jeremy Davies, Milla Jovovich, Mel Gibson, Jimmy Smits, Peter Stormare, Amanda Plummer, Gloria Stuart, Tom Bower, Donal Logue, Bud Cort, Julian Sands, Conrad Roberts, Harris Yulin, Charlayne Woodard, Ellen Cleghorne","Tragi-comic, romantic whodunnit set in a run down hotel which plays host to mentally ill people too poor to afford medical insurance.",5.9,20570,8000000,105983,184,-7894017
Mission: Impossible II,2000-07-07,"Action, Adventure, Thriller",123,"USA, Germany",English,John Woo,"Bruce Geller, Ronald D. Moore","Tom Cruise, Dougray Scott, Thandie Newton, Ving Rhames, Richard Roxburgh, John Polson, Brendan Gleeson, Rade Serbedzija, William Mapother, Dominic Purcell, Mathew Wilkinson, Nicholas Bell, Cristina Brogeras, Kee Chan, Kim Fleming","IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera"".",6.1,308586,125000000,546388108,1501,421388108
Resident Evil,2002-07-05,"Action, Horror, Sci-Fi",100,"UK, Germany, USA",English,Paul W.S. Anderson,Paul W.S. Anderson,"Ryan McCluskey, Oscar Pearce, Indra Ové, Anna Bolt, Joseph May, Robert Tannion, Heike Makatsch, Jaymes Butler, Stephen Billington, Fiona Glascott, Milla Jovovich, Eric Mabius, Colin Salmon, Martin Crewes, Pasquale Aleardi","A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident.",6.7,243241,33000000,102984862,1178,69984862
The Shipping News,2002-02-15,Drama,111,"Canada, USA",English,Lasse Hallström,"Annie Proulx, Robert Nelson Jacobs","Kevin Spacey, Julianne Moore, Judi Dench, Cate Blanchett, Pete Postlethwaite, Scott Glenn, Rhys Ifans, Gordon Pinsent, Jason Behr, Larry Pine, Jeannetta Arnette, Robert Joy, Alyssa Gainer, Kaitlyn Gainer, Lauren Gainer",An emotionally beaten man with his young daughter moves to his ancestral home in Newfoundland to reclaim his life.,6.7,31614,38000000,24690441,210,-13309559
X-Men,2000-10-27,"Action, Adventure, Sci-Fi",104,USA,English,Bryan Singer,"Tom DeSanto, Bryan Singer","Hugh Jackman, Patrick Stewart, Ian McKellen, Famke Janssen, James Marsden, Halle Berry, Anna Paquin, Tyler Mane, Ray Park, Rebecca Romijn, Bruce Davison, Matthew Sharp, Brett Morris, Rhona Shekter, Kenneth McGregor","In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",7.4,562022,75000000,296339528,1448,221339528
Men in Black II,2002-09-13,"Action, Adventure, Comedy",88,USA,English,Barry Sonnenfeld,"Lowell Cunningham, Robert Gordon","Tommy Lee Jones, Will Smith, Rip Torn, Lara Flynn Boyle, Johnny Knoxville, Rosario Dawson, Tony Shalhoub, Patrick Warburton, Jack Kehler, David Cross, Colombe Jacobsen-Derstine, Peter Spellos, Michael Rivkin, Michael Bailey Smith, Lenny Venito",Agent J is sent to find Agent K and restore his memory after the re-appearance of a case from K's past.,6.2,337088,140000000,445135288,650,305135288
Titan A.E.,2000-09-29,"Animation, Action, Adventure",94,USA,English,"Don Bluth, Gary Goldman","Hans Bauer, Randall McCormick","Drew Barrymore, Jim Breuer, Ken Hudson Campbell, Thomas A. Chantler, Tsai Chin, Elaine A. Clark, Roy Conrad, Jim Cummings, Matt Damon, Janeane Garofalo, Leslie Hedger, Roger Jackson, David L. Lander, Nathan Lane, John Leguizamo",A young man learns that he has to find a hidden Earth ship before an enemy alien species does in order to secure the survival of humanity.,6.6,58060,75000000,36754634,396,-38245366
The Emperor's New Groove,2001-04-06,"Animation, Adventure, Comedy",78,USA,English,Mark Dindal,"Chris Williams, Mark Dindal","David Spade, John Goodman, Eartha Kitt, Patrick Warburton, Wendie Malick, Kellyann Kelso, Eli Russell Linnetz, Stephen J. Anderson, Bob Bergen, Rodger Bumpass, Robert Clotworthy, Jennifer Darling, Patti Deutsch, John Fiedler, Miriam Flynn","Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.",7.3,175207,100000000,169327687,330,69327687
Corpse Bride,2005-10-28,"Animation, Drama, Family",77,"USA, UK",English,"Tim Burton, Mike Johnson","Tim Burton, Carlos Grangel","Johnny Depp, Helena Bonham Carter, Emily Watson, Tracey Ullman, Paul Whitehouse, Joanna Lumley, Albert Finney, Richard E. Grant, Christopher Lee, Michael Gough, Jane Horrocks, Enn Reitel, Deep Roy, Danny Elfman, Stephen Ballantyne","When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.",7.3,237421,40000000,118090836,525,78090836
Star Wars: Episode II - Attack of the Clones,2002-05-16,"Action, Adventure, Fantasy",142,USA,English,George Lucas,"George Lucas, Jonathan Hales","Ewan McGregor, Natalie Portman, Hayden Christensen, Christopher Lee, Samuel L. Jackson, Frank Oz, Ian McDiarmid, Pernilla August, Temuera Morrison, Jimmy Smits, Jack Thompson, Leeanna Walsman, Ahmed Best, Rose Byrne, Oliver Ford Davies","Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi.",6.5,625761,115000000,653779970,3660,538779970
Star Wars: Episode III - Revenge of the Sith,2005-05-20,"Action, Adventure, Fantasy",140,USA,English,George Lucas,George Lucas,"Ewan McGregor, Natalie Portman, Hayden Christensen, Ian McDiarmid, Samuel L. Jackson, Jimmy Smits, Frank Oz, Anthony Daniels, Christopher Lee, Keisha Castle-Hughes, Silas Carson, Jay Laga'aia, Bruce Spence, Wayne Pygram, Temuera Morrison","Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.",7.5,694239,113000000,868390560,3569,755390560
Return to Me,2000-06-09,"Comedy, Drama, Romance",115,USA,English,Bonnie Hunt,"Bonnie Hunt, Don Lake","David Duchovny, Minnie Driver, Carroll O'Connor, Robert Loggia, Bonnie Hunt, David Alan Grier, Joely Richardson, Eddie Jones, Jim Belushi, Marianne Muellerleile, William Bronder, Brian Howe, Chris Barnes, Adam Tanguay, Karson Pound",A man who falls in love with the woman who received his wife's heart must decide which woman it is who holds his heart.,6.9,19351,24000000,36609995,292,12609995
Heartbreakers,2001-08-31,"Comedy, Crime, Romance",123,USA,English,David Mirkin,"Robert Dunn, Paul Guay","Sigourney Weaver, Jennifer Love Hewitt, Ray Liotta, Jason Lee, Anne Bancroft, Jeffrey Jones, Gene Hackman, Nora Dunn, Julio Oscar Mechoso, Ricky Jay, Sarah Silverman, Zach Galifianakis, Michael Hitchcock, Pierre Gonneau, Shawn Colvin",A mother and daughter con team seduce and scam wealthy men.,6.2,50857,35000000,57756408,223,22756408
Shrek,2001-06-15,"Animation, Adventure, Comedy",90,USA,English,"Andrew Adamson, Vicky Jenson","William Steig, Ted Elliott","Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow, Vincent Cassel, Peter Dennis, Clive Pearse, Jim Cummings, Bobby Block, Chris Miller, Cody Cameron, Kathleen Freeman, Michael Galasso, Christopher Knights, Simon J. Smith","A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",7.8,600116,60000000,487769799,1071,427769799
Dinosaur,2000-06-15,"Animation, Adventure, Family",82,USA,English,"Eric Leighton, Ralph Zondag","Thom Enriquez, John Harrison","Alfre Woodard, Ossie Davis, Max Casella, Hayden Panettiere, D.B. Sweeney, Samuel E. Wright, Peter Siragusa, Julianna Margulies, Joan Plowright, Della Reese, Matt Adler, Sandina Bailo-Lape, Edie Lehmann Boddicker, Zachary Bostrom, Cathy Cavadini",An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.,6.5,51947,127500000,349822765,258,222322765
The Adventures of Rocky & Bullwinkle,2001-07-20,"Animation, Adventure, Comedy",92,"USA, Germany, South Korea, India, Canada",English,Des McAnuff,"Jay Ward, Kenneth Lonergan","Rene Russo, Jason Alexander, Piper Perabo, Randy Quaid, Robert De Niro, June Foray, Keith Scott, Janeane Garofalo, Carl Reiner, Jonathan Winters, John Goodman, Kenan Thompson, Kel Mitchell, James Rebhorn, David Alan Grier","When enemies Boris, Natasha, and Fearless Leader escape into the real world with a nefarious scheme, Rocky and Bullwinkle do the same, and team up with a young F.B.I. Agent to stop the trio.",4.2,19101,76000000,35134820,202,-40865180
Driven,2001-04-27,"Action, Drama, Sport",116,"USA, Canada, Australia",English,Renny Harlin,"Jan Skrentny, Neal Tabachnick","Sylvester Stallone, Burt Reynolds, Kip Pardue, Stacy Edwards, Til Schweiger, Gina Gershon, Estella Warren, Cristián de la Fuente, Brent Briscoe, Robert Sean Leonard, Verona Pooth, Jasmin Wagner, Chip Ganassi, John Della Penna, Dan Duran",A young hot shot driver is in the middle of a championship season and is coming apart at the seams. A former CART champion is called in to give him guidance.,4.6,38891,94000000,54744738,347,-39255262
Planet of the Apes,2001-09-14,"Action, Adventure, Sci-Fi",119,USA,English,Tim Burton,"Pierre Boulle, William Broyles Jr.","Mark Wahlberg, Tim Roth, Helena Bonham Carter, Michael Clarke Duncan, Paul Giamatti, Estella Warren, Cary-Hiroyuki Tagawa, David Warner, Kris Kristofferson, Erick Avari, Lucas Elliot Eberl, Evan Parke, Glenn Shadix, Freda Foh Shen, Chris Ellis","In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.",5.7,207951,100000000,362211740,1377,262211740
Treasure Planet,2002-12-20,"Animation, Adventure, Family",95,USA,English,"Ron Clements, John Musker","Robert Louis Stevenson, Ron Clements","Roscoe Lee Browne, Corey Burton, Dane A. Davis, Joseph Gordon-Levitt, Tony Jay, Austin Majors, Patrick McGoohan, Michael McShane, Laurie Metcalf, Brian Murray, David Hyde Pierce, Martin Short, Emma Thompson, Michael Wincott, Jack Angel","A Disney animated version of ""Treasure Island"". The only difference is that this movie is set in outer space with alien worlds and other galactic wonders.",7.2,99484,140000000,110041363,266,-29958637
Scream 3,2000-09-01,"Horror, Mystery",116,USA,English,Wes Craven,"Kevin Williamson, Ehren Kruger","Liev Schreiber, Beth Toussaint, Roger Jackson, Kelly Rutherford, Neve Campbell, Courteney Cox, Julie Janney, Richmond Arquette, Patrick Dempsey, Lynn McRee, Nancy O'Dell, Ken Taylor, Scott Foley, Roger Corman, Lance Henriksen","While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them.",5.6,121153,40000000,161834276,763,121834276
Pitch Black,2000-11-24,"Action, Horror, Sci-Fi",109,"USA, Australia",English,David Twohy,"Jim Wheat, Ken Wheat","Vin Diesel, Radha Mitchell, Cole Hauser, Keith David, Lewis Fitz-Gerald, Claudia Black, Rhiana Griffith, John Moore, Simon Burke, Les Chantery, Sam Sari, Firass Dirani, Ric Anderson, Vic Wilson, Angela Moore","A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that only come out to feast at night. But then, they learn that a month-long eclipse is about to occur.",7.1,222655,23000000,53187659,827,30187659
Supernova,2000-08-11,"Horror, Sci-Fi, Thriller",90,"USA, Switzerland",English,Walter Hill,"William Malone, Daniel Chuba","James Spader, Angela Bassett, Robert Forster, Lou Diamond Phillips, Peter Facinelli, Robin Tunney, Wilson Cruz, Eddy Rice Jr., Knox White, Kerrigan Mahan, Vanessa Marshall",A deep space rescue and recovery spaceship with a crew of 6 receives a distress call from a mining operation 3432 light years away. A rescue operation via dimension jump is made. Bad idea.,4.9,16884,90000000,14828081,297,-75171919
Intolerable Cruelty,2003-10-17,"Comedy, Crime, Romance",100,USA,English,"Joel Coen, Ethan Coen","Robert Ramsey, Matthew Stone","George Clooney, Catherine Zeta-Jones, Geoffrey Rush, Cedric the Entertainer, Edward Herrmann, Paul Adelstein, Richard Jenkins, Billy Bob Thornton, Julia Duffy, Jonathan Hadary, Tom Aldredge, Stacey Travis, Jack Kyle, Irwin Keyes, Judith Drake",A beautiful gold digger matches wits with a shrewd Beverly Hills divorce lawyer who is increasingly attracted to her.,6.2,89972,60000000,120801243,335,60801243
The Road to El Dorado,2000-10-13,"Animation, Adventure, Comedy",89,USA,English,"Bibo Bergeron, Don Paul","Terry Rossio, Ted Elliott","Kevin Kline, Kenneth Branagh, Rosie Perez, Armand Assante, Edward James Olmos, Jim Cummings, Frank Welker, Tobin Bell, Duncan Marjoribanks, Elijah Chiang, Cyrus Shaki-Khan, Elton John","Two swindlers get their hands on a map to the fabled city of gold, El Dorado.",6.9,82217,95000000,76432727,163,-18567273
The Yards,2001-06-01,"Crime, Drama, Romance",115,USA,English,James Gray,"James Gray, Matt Reeves","Mark Wahlberg, Joaquin Phoenix, Charlize Theron, James Caan, Ellen Burstyn, Faye Dunaway, Steve Lawrence, Andy Davoli, Tony Musante, Victor Argo, Tomas Milian, Robert Montano, Victor Arnold, Chad Aaron, Louis Guss",Leo is released from prison after serving time for car theft. His plan to go straight falls apart when he meets his corrupt uncle for a job and later an old friend working there. It culminates at the (railroad) yards.,6.4,19633,24000000,924036,140,-23075964
Training Day,2001-11-16,"Crime, Drama, Thriller",122,USA,English,Antoine Fuqua,David Ayer,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Charlotte Ayanna, Eva Mendes, Nick Chinlund, Jaime Gomez, Raymond Cruz",A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,7.7,381509,45000000,104876233,712,59876233
U-571,2000-10-06,"Action, War",116,"France, USA, Italy",English,Jonathan Mostow,"Jonathan Mostow, Jonathan Mostow","Matthew McConaughey, Bill Paxton, Harvey Keitel, Jon Bon Jovi, David Keith, Thomas Kretschmann, Jake Weber, Jack Noseworthy, Tom Guiry, Will Estes, Terrence 'T.C.' Carson, Erik Palladino, Dave Power, Derk Cheetwood, Matthew Settle",A German submarine is boarded by disguised American submariners trying to capture their Enigma cipher machine.,6.6,75749,62000000,127666415,637,65666415
American Psycho,2001-05-25,"Comedy, Crime, Drama",101,"USA, Canada",English,Mary Harron,"Bret Easton Ellis, Mary Harron","Christian Bale, Justin Theroux, Josh Lucas, Bill Sage, Chloë Sevigny, Reese Witherspoon, Samantha Mathis, Matt Ross, Jared Leto, Willem Dafoe, Cara Seymour, Guinevere Turner, Stephen Bogaert, Monika Meier, Reg E. Cathey","A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",7.6,473137,7000000,34266564,1267,27266564
Nutty Professor II: The Klumps,2000-10-20,"Comedy, Romance, Sci-Fi",106,USA,English,Peter Segal,"Jerry Lewis, Steve Oedekerk","Eddie Murphy, Janet Jackson, Larry Miller, John Ales, Richard Gant, Anna Maria Horsford, Melinda McGraw, Jamal Mixon, Gabriel Williams, Chris Elliott, Duffy Taylor, Earl Boen, Nikki Cox, Freda Payne, Sylvester Jenkins","Scientist Sherman Klump's inventions, his upcoming marriage to his pretty colleague Denise Gaines and his reputation are threatened by his evil clone Buddy Love.",4.4,47646,84000000,166339890,181,82339890
Highlander: Endgame,2000-09-01,"Action, Adventure, Fantasy",87,"UK, USA, Luxembourg",English,Douglas Aarniokoski,"Gregory Widen, Eric Bernt","Adrian Paul, Christopher Lambert, Bruce Payne, Lisa Barbuscia, Donnie Yen, Jim Byrnes, Peter Wingfield, Damon Dash, Beatie Edney, Sheila Gish, Oris Erhuero, Ian Paul Cassidy, Adam Copeland, Mihnea Trusca, June Watson","Immortals Connor and Duncan MacLeod must join forces against Kell, an evil immortal who has become too strong for anyone to face alone.",4.6,19127,25000000,15843608,361,-9156392
Spider-Man,2002-06-07,"Action, Adventure, Sci-Fi",121,USA,English,Sam Raimi,"Stan Lee, Steve Ditko","Tobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco, Cliff Robertson, Rosemary Harris, J.K. Simmons, Joe Manganiello, Gerry Becker, Bill Nunn, Jack Betts, Stanley Anderson, Ron Perkins, Michael Papajohn, K.K. Dodds","When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",7.3,675212,139000000,825025036,2130,686025036
Thirteen Days,2001-04-06,"Drama, History, Thriller",145,USA,English,Roger Donaldson,"David Self, Ernest R. May","Shawn Driscoll, Kevin Costner, Drake Cook, Lucinda Jenney, Caitlin Wachs, Jon Foster, Matthew Dunn, Kevin O'Donnell, Janet Coleman, Bruce Thomas, Stephanie Romanov, Bruce Greenwood, Frank Wood, Dakin Matthews, Liz Sinclair","In October 1962, the Kennedy administration struggles to contain the Cuban Missile Crisis.",7.3,53099,80000000,66579890,338,-13420110
Lara Croft: Tomb Raider,2001-12-14,"Action, Adventure, Fantasy",100,"USA, UK, Japan, Germany",English,Simon West,"Sara B. Cooper, Mike Werb","Angelina Jolie, Jon Voight, Iain Glen, Noah Taylor, Daniel Craig, Richard Johnson, Chris Barrie, Julian Rhind-Tutt, Leslie Phillips, Robert Phillips, Rachel Appleton, Henry Wyndham, David Cheung, David Tse, Ozzie Yue",Video game adventurer Lara Croft comes to life in a movie where she races against time and villains to recover powerful ancient artifacts.,5.8,195155,115000000,274703340,852,159703340
High Fidelity,2000-07-07,"Comedy, Drama, Music",113,"UK, USA",English,Stephen Frears,"Nick Hornby, D.V. DeVincentis","John Cusack, Iben Hjejle, Todd Louiso, Jack Black, Lisa Bonet, Catherine Zeta-Jones, Joan Cusack, Tim Robbins, Chris Rehmann, Ben Carr, Lili Taylor, Joelle Carter, Natasha Gregson Wagner, Shannon Stillo, Drake Bell","Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.",7.5,165533,30000000,47126295,628,17126295
The Legend of Bagger Vance,2001-03-16,"Drama, Fantasy, Sport",126,USA,English,Robert Redford,"Steven Pressfield, Jeremy Leven","Will Smith, Matt Damon, Charlize Theron, Bruce McGill, Joel Gretsch, J. Michael Moncrief, Peter Gerety, Lane Smith, Michael O'Neill, Thomas Jay Ryan, Trip Hamilton, Dermot Crowley, Harve Presnell, Danny Nelson, Bob Penny",A down-and-out golfer attempts to recover his game and his life with help from a mystical caddy.,6.7,52789,80000000,39459427,279,-40540573
All the Pretty Horses,2001-04-20,"Drama, Romance, Western",116,USA,English,Billy Bob Thornton,"Cormac McCarthy, Ted Tally","Matt Damon, Henry Thomas, Penélope Cruz, Angelina Torres, J.D. Young, Laura Poe, Sam Shepard, Robert Patrick, Lucas Black, Yvette Diaz, Imelda Colindres, Augustin Solis, Rubén Blades, Elizabeth Ibarra, Miriam Colon","Two Texas cowboys head to Mexico in search of work, but soon find themselves in trouble with the law after one of them falls in love with a wealthy rancher's daughter.",5.8,12778,57000000,18133495,188,-38866505
My Dog Skip,2000-08-25,"Comedy, Drama, Family",95,USA,English,Jay Russell,"Willie Morris, Gail Gilchriest","Luke Wilson, Frankie Muniz, Kevin Bacon, Diane Lane, Mark Beech, Susan Carol Davis, David Pickens, Bradley Coryell, Daylan Honeycutt, Cody Linley, Lucile Doan Ewing, Polly Craig, John Stiritz, Enzo, Moose","A shy boy grows up in 1940s Mississippi with the help of his beloved dog, Skip.",7,19069,6000000,35547761,150,29547761
The Next Best Thing,2000-04-14,"Comedy, Drama, Romance",108,USA,English,John Schlesinger,Tom Ropelewski,"Madonna, Rupert Everett, Benjamin Bratt, Illeana Douglas, Michael Vartan, Josef Sommer, Malcolm Stumpf, Lynn Redgrave, Neil Patrick Harris, Mark Valley, Suzanne Krull, Stacy Edwards, John Carroll Lynch, Fran Bennett, Ricki Lopez","Abbie, tired of failed relationships, has a one-night-stand with her gay friend; they agree to raise the resulting baby together.",4.7,10660,25000000,24362772,162,-637228
2001: A Space Travesty,2001-09-07,"Comedy, Sci-Fi",99,"Canada, Germany",English,Allan A. Goldstein,"Alan Shearman, Vince Di Clemente","Leslie Nielsen, Ophélie Winter, Ezio Greggio, Peter Egan, Alexandra Kamp, Damien Masson, Pierre Edwards, David Fox, Sam Stone, Verona Pooth, Michel Perron, Paul Rainville, Yvan Ducharme, Marc Hervieux, Perry Canestrari",Marshal Dix is to free US president from aliens on the int'l lunar base. A clone has replaced him in The White House. Can Dix prevent an alien invasion?,3.6,11337,45000000,270813,94,-44729187
Clockstoppers,2002-07-26,"Action, Adventure, Comedy",94,USA,English,Jonathan Frakes,"Rob Hedden, Andy Hedden","Jesse Bradford, French Stewart, Paula Garcés, Michael Biehn, Robin Thomas, Garikayi Mutambirwa, Julia Sweeney, Lindze Letherman, Jason George, Linda Kim, Ken Jenkins, Esperanza Catubig, Jennifer Manley, Scott Thomson, Deborah Rawlings",A teenager accidentally activates a machine that enables him to speed up his body so that other people seem to be standing still.,5.2,13261,26000000,38793283,95,12793283
The Flintstones in Viva Rock Vegas,2000-08-25,"Comedy, Family, Romance",90,USA,English,Brian Levant,"William Hanna, Joseph Barbera","Mark Addy, Stephen Baldwin, Kristen Johnston, Jane Krakowski, Joan Collins, Thomas Gibson, Alan Cumming, Harvey Korman, Alex Meneses, John Taylor, Tony Longo, Danny Woodburn, Taylor Negron, Jack McGee, David Jean Thomas","In this live-action prequel to The Flintstones (1994), the Flintstones and the Rubbles go on a trip to Rock Vegas, where Wilma Slaghoople (Kristen Johnston) is pursued by playboy Chip Rockefeller (Thomas Gibson).",3.6,21224,83000000,59468275,99,-23531725
Behind Enemy Lines,2002-01-11,"Action, Drama, Thriller",106,USA,English,John Moore,"Jim Thomas, John Thomas","Owen Wilson, Gene Hackman, Gabriel Macht, Charles Malik Whitfield, Joaquim de Almeida, David Keith, Olek Krupa, Vladimir Mashkov, Marko Igonda, Eyal Podell, Geoff Pierson, Aernout Van Lynden, Sam Jaeger, Shane Johnson, Don Winston",A Navy navigator is shot down over enemy territory and is ruthlessly pursued by a secret police enforcer and the opposing troops. Meanwhile his commanding officer goes against orders in an attempt to rescue him.,6.4,97575,40000000,91753202,437,51753202
Cold Mountain,2004-02-13,"Adventure, Drama, History",154,"USA, Italy, Romania",English,Anthony Minghella,"Charles Frazier, Anthony Minghella","Jude Law, Nicole Kidman, Renée Zellweger, Eileen Atkins, Brendan Gleeson, Philip Seymour Hoffman, Natalie Portman, Giovanni Ribisi, Donald Sutherland, Ray Winstone, Kathy Baker, James Gammon, Charlie Hunnam, Jack White, Ethan Suplee","In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart.",7.2,138013,79000000,173013509,697,94013509
The Art of War,2000-11-17,"Action, Adventure, Crime",117,"USA, Canada",English,Christian Duguay,"Wayne Beach, Wayne Beach","Wesley Snipes, Anne Archer, Maury Chaykin, Marie Matiko, Cary-Hiroyuki Tagawa, Michael Biehn, Donald Sutherland, Liliana Komorowska, James Hong, Paul Hopkins, Glen Chin, Ron Yuan, Bonnie Mak, Uni Park, Erin Selby","UN's secretary general uses covert operations to help diplomacy along. Shaw's called back 6 months after one such operation. He witnesses the murder of Chinese UN ambassador at UN, NYC, chases the assassin and ends up a suspect.",5.7,28367,60000000,40400425,173,-19599575
Charlie's Angels,2000-11-24,"Action, Adventure, Comedy",98,"USA, Germany",English,McG,"Ryan Rowe, Ed Solomon","Cameron Diaz, Drew Barrymore, Lucy Liu, Bill Murray, Sam Rockwell, Kelly Lynch, Tim Curry, Crispin Glover, Matt LeBlanc, LL Cool J, Tom Green, Luke Wilson, Sean Whalen, Tim Dunaway, Alex Trebek","Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.",5.5,173640,93000000,264105545,662,171105545
