"original_title","date_published","genre","duration","country","language_1","director","writer","actors","description","avg_vote","votes","budget","worlwide_gross_income","reviews_from_users","profit","profit_norm","votes_norm","reviews_norm","avg_vote_norm","age","success","success_norm"
"Chicken Run",2000-12-15,"Animation, Adventure, Comedy",84,"UK, USA, France","English","Peter Lord, Nick Park","Peter Lord, Nick Park","Phil Daniels, Lynn Ferguson, Mel Gibson, Tony Haygarth, Jane Horrocks, Miranda Richardson, Julia Sawalha, Timothy Spall, Imelda Staunton, Benjamin Whitrow","When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.",7,173987,4.5e+07,224834564,393,179834564,0.0704085292665124,0.0540141630591036,0.0161069894572433,0.166666666666667,20,0.295509489696802,0.102137589438552
"Frida",2003-01-17,"Biography, Drama, Romance",123,"Mexico, USA, Canada","English","Julie Taymor","Hayden Herrera, Clancy Sigal","Salma Hayek, Mía Maestro, Amelia Zapata, Alejandro Usigli, Diego Luna, Alfred Molina, Lucia Bravo, Valeria Golino, Patricia Reyes Spíndola, Loló Navarro, Roger Rees, Fermín Martínez, Roberto Medina, Ashley Judd, Antonio Banderas","A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work",7.4,79690,1.2e+07,56298474,297,44298474,0.0173275750661392,0.0108711864375761,0.00673565013666536,0.333333333333334,17,0.365709486668055,0.12673452261132
"From Hell",2001-12-21,"Horror, Mystery, Thriller",122,"USA, Czech Republic, UK","English","Albert Hughes, Allen Hughes","Alan Moore, Eddie Campbell","Johnny Depp, Heather Graham, Ian Holm, Robbie Coltrane, Ian Richardson, Jason Flemyng, Katrin Cartlidge, Terence Harvey, Susan Lynch, Paul Rhys, Lesley Sharp, Estelle Skornik, Nicholas McGaughey, Annabelle Apsion, Joanna Page","In Victorian-era London, a troubled clairvoyant police detective investigates the murders of Jack the Ripper.",6.8,144714,3.5e+07,74558115,556,39558115,0.0154710748603835,0.0406211139202978,0.0320187426786412,0.0833333333333334,19,0.159846304495346,0.0546034235642788
"The Lord of the Rings: The Fellowship of the Ring",2002-01-18,"Action, Adventure, Drama",178,"New Zealand, USA","English","Peter Jackson","J.R.R. Tolkien, Fran Walsh","Alan Howard, Noel Appleby, Sean Astin, Sala Baker, Sean Bean, Cate Blanchett, Orlando Bloom, Billy Boyd, Marton Csokas, Megan Edwards, Michael Elsworth, Mark Ferguson, Ian Holm, Christopher Lee, Lawrence Makoare","A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.",8.8,1619920,9.3e+07,887934303,5392,794934303,0.311304375343528,0.715560698105766,0.504099960952753,0.916666666666667,18,2.26158177002589,0.791017227309322
"Resident Evil",2002-07-05,"Action, Horror, Sci-Fi",100,"UK, Germany, USA","English","Paul W.S. Anderson","Paul W.S. Anderson","Ryan McCluskey, Oscar Pearce, Indra Ové, Anna Bolt, Joseph May, Robert Tannion, Heike Makatsch, Jaymes Butler, Stephen Billington, Fiona Glascott, Milla Jovovich, Eric Mabius, Colin Salmon, Martin Crewes, Pasquale Aleardi","A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident.",6.7,243241,3.3e+07,102984862,1178,69984862,0.0273873162391435,0.0856994097047792,0.0927372120265521,0.0416666666666669,18,0.220271458949312,0.0757754114586229
"X-Men",2000-10-27,"Action, Adventure, Sci-Fi",104,"USA","English","Bryan Singer","Tom DeSanto, Bryan Singer","Hugh Jackman, Patrick Stewart, Ian McKellen, Famke Janssen, James Marsden, Halle Berry, Anna Paquin, Tyler Mane, Ray Park, Rebecca Romijn, Bruce Davison, Matthew Sharp, Brett Morris, Rhona Shekter, Kenneth McGregor","In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",7.4,562022,7.5e+07,296339528,1448,221339528,0.0866634108495073,0.231548813507521,0.119094103865677,0.333333333333334,20,0.712199175327173,0.248138854302267
"The Emperor's New Groove",2001-04-06,"Animation, Adventure, Comedy",78,"USA","English","Mark Dindal","Chris Williams, Mark Dindal","David Spade, John Goodman, Eartha Kitt, Patrick Warburton, Wendie Malick, Kellyann Kelso, Eli Russell Linnetz, Stephen J. Anderson, Bob Bergen, Rodger Bumpass, Robert Clotworthy, Jennifer Darling, Patti Deutsch, John Fiedler, Miriam Flynn","Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.",7.3,175207,1e+08,169327687,330,69327687,0.0271299421620499,0.0545723402172133,0.00995704802811402,0.291666666666667,19,0.373022985505462,0.129297053237019
"Corpse Bride",2005-10-28,"Animation, Drama, Family",77,"USA, UK","English","Tim Burton, Mike Johnson","Tim Burton, Carlos Grangel","Johnny Depp, Helena Bonham Carter, Emily Watson, Tracey Ullman, Paul Whitehouse, Joanna Lumley, Albert Finney, Richard E. Grant, Christopher Lee, Michael Gough, Jane Horrocks, Enn Reitel, Deep Roy, Danny Elfman, Stephen Ballantyne","When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.",7.3,237421,4e+07,118090836,525,78090836,0.030561915968584,0.0830366301472398,0.0289925810230379,0.291666666666667,15,0.41964528800071,0.14563274708763
"Star Wars: Episode III - Revenge of the Sith",2005-05-20,"Action, Adventure, Fantasy",140,"USA","English","George Lucas","George Lucas","Ewan McGregor, Natalie Portman, Hayden Christensen, Ian McDiarmid, Samuel L. Jackson, Jimmy Smits, Frank Oz, Anthony Daniels, Christopher Lee, Keisha Castle-Hughes, Silas Carson, Jay Laga'aia, Bruce Spence, Wayne Pygram, Temuera Morrison","Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.",7.5,694239,1.13e+08,868390560,3569,755390560,0.29581758056367,0.292041034256522,0.326142131979695,0.375,15,1.20836815989951,0.421988368297596
"Shrek",2001-06-15,"Animation, Adventure, Comedy",90,"USA","English","Andrew Adamson, Vicky Jenson","William Steig, Ted Elliott","Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow, Vincent Cassel, Peter Dennis, Clive Pearse, Jim Cummings, Bobby Block, Chris Miller, Cody Cameron, Kathleen Freeman, Michael Galasso, Christopher Knights, Simon J. Smith","A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",7.8,600116,6e+07,487769799,1071,427769799,0.167509152825107,0.248977666508364,0.0822920734088247,0.5,19,0.945887085528627,0.330019283910587
"Pitch Black",2000-11-24,"Action, Horror, Sci-Fi",109,"USA, Australia","English","David Twohy","Jim Wheat, Ken Wheat","Vin Diesel, Radha Mitchell, Cole Hauser, Keith David, Lewis Fitz-Gerald, Claudia Black, Rhiana Griffith, John Moore, Simon Burke, Les Chantery, Sam Sari, Firass Dirani, Ric Anderson, Vic Wilson, Angela Moore","A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that only come out to feast at night. But then, they learn that a month-long eclipse is about to occur.",7.1,222655,2.3e+07,53187659,827,30187659,0.0118012571330711,0.0762808564450703,0.0584732526356892,0.208333333333333,20,0.332429681367037,0.115073822008625
"Training Day",2001-11-16,"Crime, Drama, Thriller",122,"USA","English","Antoine Fuqua","David Ayer","Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Charlotte Ayanna, Eva Mendes, Nick Chinlund, Jaime Gomez, Raymond Cruz","A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.",7.7,381509,4.5e+07,104876233,712,59876233,0.0234284026171144,0.148960097653551,0.0472471690745802,0.458333333333333,19,0.646641792024508,0.225168617184771
"U-571",2000-10-06,"Action, War",116,"France, USA, Italy","English","Jonathan Mostow","Jonathan Mostow, Jonathan Mostow","Matthew McConaughey, Bill Paxton, Harvey Keitel, Jon Bon Jovi, David Keith, Thomas Kretschmann, Jake Weber, Jack Noseworthy, Tom Guiry, Will Estes, Terrence 'T.C.' Carson, Erik Palladino, Dave Power, Derk Cheetwood, Matthew Settle","A German submarine is boarded by disguised American submariners trying to capture their Enigma cipher machine.",6.6,75749,6.2e+07,127666415,637,65666415,0.0256960524036312,0.00906809120797772,0.0399258102303788,0,20,0.0665243036022617,0.021904917602004
"American Psycho",2001-05-25,"Comedy, Crime, Drama",101,"USA, Canada","English","Mary Harron","Bret Easton Ellis, Mary Harron","Christian Bale, Justin Theroux, Josh Lucas, Bill Sage, Chloë Sevigny, Reese Witherspoon, Samantha Mathis, Matt Ross, Jared Leto, Willem Dafoe, Cara Seymour, Guinevere Turner, Stephen Bogaert, Monika Meier, Reg E. Cathey","A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",7.6,473137,7e+06,34266564,1267,27266564,0.0106572481100136,0.190881947361149,0.101425224521671,0.416666666666667,19,0.672960193669806,0.234390155566725
"Spider-Man",2002-06-07,"Action, Adventure, Sci-Fi",121,"USA","English","Sam Raimi","Stan Lee, Steve Ditko","Tobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco, Cliff Robertson, Rosemary Harris, J.K. Simmons, Joe Manganiello, Gerry Becker, Bill Nunn, Jack Betts, Stanley Anderson, Ron Perkins, Michael Papajohn, K.K. Dodds","When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",7.3,675212,1.39e+08,825025036,2130,686025036,0.268651471503501,0.283335758201315,0.18566966028895,0.291666666666667,18,0.957780357229714,0.334186492199171
"High Fidelity",2000-07-07,"Comedy, Drama, Music",113,"UK, USA","English","Stephen Frears","Nick Hornby, D.V. DeVincentis","John Cusack, Iben Hjejle, Todd Louiso, Jack Black, Lisa Bonet, Catherine Zeta-Jones, Joan Cusack, Tim Robbins, Chris Rehmann, Ben Carr, Lili Taylor, Joelle Carter, Natasha Gregson Wagner, Shannon Stillo, Drake Bell","Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.",7.5,165533,3e+07,47126295,628,17126295,0.00668594309178215,0.0501462698667604,0.0390472471690746,0.375,20,0.456013873954978,0.158375706017835
"Cold Mountain",2004-02-13,"Adventure, Drama, History",154,"USA, Italy, Romania","English","Anthony Minghella","Charles Frazier, Anthony Minghella","Jude Law, Nicole Kidman, Renée Zellweger, Eileen Atkins, Brendan Gleeson, Philip Seymour Hoffman, Natalie Portman, Giovanni Ribisi, Donald Sutherland, Ray Winstone, Kathy Baker, James Gammon, Charlie Hunnam, Jack White, Ethan Suplee","In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart.",7.2,138013,7.9e+07,173013509,697,94013509,0.036797824620372,0.0375552572510416,0.0457828973057399,0.25,16,0.358641061307253,0.124257861731868
"What Lies Beneath",2000-12-15,"Drama, Fantasy, Horror",130,"USA","English","Robert Zemeckis","Clark Gregg, Sarah Kernochan","Michelle Pfeiffer, Katharine Towne, Miranda Otto, James Remar, Harrison Ford, Victoria Bidewell, Diana Scarwid, Dennison Samaroo, Jennifer Tung, Eliott Goretsky, Rachel Singer, Daniel Zelman, Ray Baker, Wendy Crewson, Amber Valletta","The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.",6.6,116054,1e+08,291420351,704,191420351,0.074945952687258,0.027508525927329,0.0464662241311988,0,20,0.136591577736031,0.0464553468587472
"Cast Away",2001-01-12,"Adventure, Drama, Romance",143,"USA","English","Robert Zemeckis","William Broyles Jr.","Paul Sanchez, Lari White, Leonid Citer, David Allen Brooks, Yelena Popovic, Valentina Ananina, Semion Sudarikov, Tom Hanks, Peter Von Berg, Dmitri S. Boudrine, François Duhamel, Michael Forest, Viveka Davis, Nick Searcy, Jennifer Choe","A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.",7.8,510788,9e+07,429632142,1184,339632142,0.132991181010034,0.208108118000481,0.0933229207340883,0.5,19,0.88629457490463,0.309139040824307
"Ghost World",2002-11-08,"Comedy, Drama",111,"USA, UK, Germany","English","Terry Zwigoff","Daniel Clowes, Daniel Clowes","Thora Birch, Scarlett Johansson, Steve Buscemi, Brad Renfro, Illeana Douglas, Bob Balaban, Stacey Travis, Charles C. Stevenson Jr., Dave Sheridan, Tom McGowan, Debra Azar, Brian George, Pat Healy, Rini Bell, T.J. Thyne","With only the plan of moving in together after high school, two unusually devious friends seek direction in life. As a mere gag, they respond to a man's newspaper ad for a date, only to find it will greatly complicate their lives.",7.3,111652,7e+06,8764007,507,1764007,0.000669501967200921,0.0254945129355269,0.0272354549004295,0.291666666666667,18,0.33702258205417,0.116683099446583
"The Beach",2000-02-25,"Adventure, Drama, Romance",119,"USA, UK","English","Danny Boyle","John Hodge, Alex Garland","Leonardo DiCaprio, Daniel York, Patcharawan Patarakijjanon, Virginie Ledoyen, Guillaume Canet, Robert Carlyle, Somboon Phutaroth, Weeratham 'Norman' Wichairaksakui, Sahajak Boonthanakit, Peter Youngblood Hills, Jerry Swindall, Krongthong Thampradith, Apichart Chusakul, Sanya 'Gai' Cheunjit, Kaneung 'Nueng' Kenia","Vicenarian Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss. Excited and intrigued, he sets out to find it.",6.7,219346,5e+07,144056873,590,94056873,0.0368148075693264,0.0747669152842632,0.0353377586880125,0.0416666666666669,20,0.17023536921289,0.0582435822766733
"Spirit: Stallion of the Cimarron",2002-12-20,"Animation, Adventure, Drama",83,"USA","English","Kelly Asbury, Lorna Cook","John Fusco, Michael Lucker","Matt Damon, James Cromwell, Daniel Studi, Chopper Bernet, Jeff LeBeau, John Rubano, Richard McGonagle, Matt Levin, Adam Paul, Robert Cait, Charles Napier, Meredith Wells, Zahn McClarnon, Michael Horse, Donald Fullilove","A wild stallion is captured by humans and slowly loses the will to resist training, yet, throughout his struggles for freedom, the stallion refuses to let go of the hope of one day returning home to his herd.",7.1,63449,8e+07,122563539,253,42563539,0.0166481102440714,0.00344056740080689,0.00244045294806716,0.208333333333333,18,0.229965359127298,0.0791719958624521
"Mulholland Dr.",2002-02-15,"Drama, Mystery, Thriller",147,"France, USA","English","David Lynch","David Lynch","Naomi Watts, Jeanne Bates, Dan Birnbaum, Laura Harring, Randall Wulff, Robert Forster, Brent Briscoe, Maya Bond, Patrick Fischler, Michael Cooke, Bonnie Aarons, Michael J. Anderson, Joseph Kearney, Enrique Buelna, Richard Mead","After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",8,312966,1.5e+07,20129557,1929,5129557,0.00198757603447751,0.117600149335266,0.16604841858649,0.583333333333333,18,0.825701051674383,0.287908059258777
"Hellboy",2004-10-08,"Action, Fantasy, Horror",122,"USA","English","Guillermo del Toro","Guillermo del Toro, Guillermo del Toro","Ron Perlman, John Hurt, Selma Blair, Rupert Evans, Karel Roden, Jeffrey Tambor, Doug Jones, Brian Steele, Ladislav Beran, Biddy Hodson, Corey Johnson, Kevin Trainor, Brian Caspe, James Babson, Stephen Fisher","A demon, raised from infancy after being conjured by and rescued from the Nazis, grows up to become a defender against the forces of darkness.",6.8,302680,6.6e+07,99378985,652,33378985,0.0130510986272773,0.112894075361237,0.0413900819992191,0.0833333333333334,16,0.229388015892038,0.0789697042158976
"The Lord of the Rings: The Return of the King",2004-01-22,"Action, Adventure, Drama",201,"New Zealand, USA","English","Peter Jackson","J.R.R. Tolkien, Fran Walsh","Noel Appleby, Ali Astin, Sean Astin, David Aston, John Bach, Sean Bean, Cate Blanchett, Orlando Bloom, Billy Boyd, Sadwyn Brophy, Alistair Browning, Marton Csokas, Richard Edge, Jason Fitch, Bernard Hill","Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.",8.9,1604280,9.4e+07,1142271098,3718,1048271098,0.410520449915727,0.708405049947705,0.340687231550176,0.958333333333333,16,2.27324368109206,0.795103370607574
"The Lord of the Rings: The Two Towers",2003-01-16,"Action, Adventure, Drama",179,"New Zealand, USA","English","Peter Jackson","J.R.R. Tolkien, Fran Walsh","Bruce Allpress, Sean Astin, John Bach, Sala Baker, Cate Blanchett, Orlando Bloom, Billy Boyd, Jed Brophy, Sam Comery, Brad Dourif, Calum Gittins, Bernard Hill, Bruce Hopkins, Paris Howe Strewe, Christopher Lee","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",8.7,1449778,9.4e+07,951227416,2575,857227416,0.335700666236615,0.637716945617989,0.229109722764545,0.875,17,1.95157816058066,0.682397022269091
"Dancer in the Dark",2000-10-18,"Crime, Drama, Musical",140,"Denmark, Germany, Netherlands, Italy, USA, UK, France, Sweden, Finland, Iceland, Argentina, Norway, Taiwan, Belgium","English","Lars von Trier","Lars von Trier","Björk, Catherine Deneuve, David Morse, Peter Stormare, Joel Grey, Cara Seymour, Vladica Kostic, Jean-Marc Barr, Vincent Paterson, Siobhan Fallon Hogan, Zeljko Ivanek, Udo Kier, Jens Albinus, Reathel Bean, Mette Berggreen","An East European girl travels to the United States with her young son, expecting it to be like a Hollywood film.",8,100095,12800000,40031879,718,27231879,0.0106436641789998,0.02020692816809,0.0478328777821164,0.583333333333333,20,0.650676835804172,0.226582430667388
"Bad Boys II",2003-10-17,"Action, Comedy, Crime",147,"USA","English","Michael Bay","George Gallo, Marianne Wibberley","Martin Lawrence, Will Smith, Jordi Mollà, Gabrielle Union, Peter Stormare, Theresa Randle, Joe Pantoliano, Michael Shannon, Jon Seda, Yul Vazquez, Jason Manuel Olazabal, Otto Sanchez, Henry Rollins, Antoni Corone, Gary Nickens","Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida from a Cuban drug cartel.",6.6,227621,1.3e+08,273339556,565,143339556,0.0561157320625334,0.078552911991933,0.0328973057399453,0,17,0.151372328414566,0.0516342806531767
"Gladiator",2000-05-19,"Action, Adventure, Drama",155,"USA, UK, Malta, Morocco","English","Ridley Scott","David Franzoni, David Franzoni","Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Richard Harris, Derek Jacobi, Djimon Hounsou, David Schofield, John Shrapnel, Tomas Arana, Ralf Moeller, Spencer Treat Clark, David Hemmings, Tommy Flanagan, Sven-Ole Thorsen","A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.",8.5,1308193,1.03e+08,465361176,2653,362361176,0.141892712792253,0.572938656330324,0.236723935962515,0.791666666666667,20,1.60827820636962,0.562110321467648
"Requiem for a Dream",2000-12-15,"Drama",102,"USA","English","Darren Aronofsky","Hubert Selby Jr., Hubert Selby Jr.","Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans, Christopher McDonald, Louise Lasser, Marcia Jean Kurtz, Janet Sarno, Suzanne Shepherd, Joanne Gordon, Charlotte Aronofsky, Mark Margolis, Michael Kaycheck, Jack O'Connell, Chas Mastin","The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.",8.3,748291,4500000,7390108,2130,2890108,0.00111052483871798,0.316771027494343,0.18566966028895,0.708333333333334,20,1.1281444313248,0.39387928317284
"Finding Forrester",2001-03-23,"Drama",136,"USA","English","Gus Van Sant","Mike Rich","Sean Connery, Rob Brown, F. Murray Abraham, Anna Paquin, Busta Rhymes, April Grace, Michael Pitt, Michael Nouri, Richard Easton, Glenn Fitzgerald, Lil' Zane, Stephanie Berry, Fly Williams III, Damany Mathis, Damion Lee","A young writing prodigy finds a mentor in a reclusive author.",7.3,81537,4.3e+07,80049764,338,37049764,0.0144887116791123,0.0117162300531732,0.0107379929714955,0.291666666666667,19,0.325024473324492,0.112479157974274
"Minority Report",2002-09-27,"Action, Crime, Mystery",145,"USA","English","Steven Spielberg","Philip K. Dick, Scott Frank","Tom Cruise, Max von Sydow, Steve Harris, Neal McDonough, Patrick Kilpatrick, Jessica Capshaw, Richard Coca, Keith Campbell, Kirk B.R. Woller, Klea Scott, Frank Grillo, Anna Maria Horsford, Sarah Simmons, Eugene Osment, James Henderson","In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.",7.6,498830,1.02e+08,358372926,1392,256372926,0.100383787427594,0.202637066806485,0.113627489262007,0.416666666666667,18,0.785071264321797,0.273672044907599
"Traffic",2001-03-09,"Crime, Drama, Thriller",147,"USA, Mexico, Germany","English","Steven Soderbergh","Simon Moore, Stephen Gaghan","Benicio Del Toro, Jacob Vargas, Andrew Chavez, Michael Saucedo, Tomas Milian, Jose Yenque, Emilio Rivera, Michael O'Neill, Michael Douglas, Russell G. Jones, Lorene Hetherington, Eric Collins, Beau Holden, Peter Stader, James Lew","A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business.",7.6,193193,4.8e+07,207515725,897,159515725,0.0624509191394698,0.0628013355989836,0.0653065208902772,0.416666666666667,19,0.586771246721482,0.204190955284889
"Me, Myself & Irene",2000-09-08,"Comedy",116,"USA","English","Bobby Farrelly, Peter Farrelly","Peter Farrelly, Mike Cerrone","Jim Carrey, Renée Zellweger, Anthony Anderson, Mongo Brownlee, Jerod Mixon, Chris Cooper, Michael Bowman, Richard Jenkins, Robert Forster, Mike Cerrone, Rob Moran, Daniel Greene, Tony Cox, Andrew Phillips, Jeremy Maleek Leggett","A nice-guy cop with Dissociative Identity Disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates.",6.6,219069,5.1e+07,149270999,502,98270999,0.0384652154363425,0.0746401816180366,0.0267473643108161,0,20,0.12295483704372,0.0416772554915852
"Phone Booth",2003-06-27,"Crime, Thriller",81,"USA","English","Joel Schumacher","Larry Cohen","Colin Farrell, Kiefer Sutherland, Forest Whitaker, Radha Mitchell, Katie Holmes, Paula Jai Parker, Arian Ash, Tia Texada, John Enos III, Richard T. Jones, Keith Nobbs, Dell Yount, James MacDonald, Josh Pais, Yorgo Constantine","Publicist Stuart Shepard finds himself trapped in a phone booth, pinned down by an extortionist's sniper rifle. Unable to leave or receive outside help, Stuart's negotiation with the caller leads to a jaw-dropping climax.",7,247774,1.3e+07,97837138,660,84837138,0.0332040177695426,0.087773358112739,0.0421710269426005,0.166666666666667,17,0.310934261406585,0.107542177690972
"A Knight's Tale",2001-11-09,"Action, Adventure, Romance",132,"USA","English","Brian Helgeland","Brian Helgeland","Heath Ledger, Rufus Sewell, Shannyn Sossamon, Paul Bettany, Laura Fraser, Mark Addy, Alan Tudyk, Bérénice Bejo, Scott Handy, James Purefoy, Leagh Conwell, Christopher Cazenove, Steven O'Donnell, Jonathan Slinger, Nick Brimble","After his master dies, a peasant squire, fueled by his desire for food and glory, creates a new identity for himself as a knight.",6.9,167807,6.5e+07,117487473,702,52487473,0.0205346904614993,0.0511866754876959,0.0462709878953534,0.125,19,0.227431886581709,0.0782843084324311
"Shanghai Noon",2000-08-18,"Action, Adventure, Comedy",110,"USA, Hong Kong","English","Tom Dey","Miles Millar, Alfred Gough","Jackie Chan, Owen Wilson, Lucy Liu, Brandon Merrill, Roger Yuan, Xander Berkeley, Rongguang Yu, Cui Ya Hui, Eric Chen, Jason Connery, Walton Goggins, Adrien Dorval, Rafael Báez, Stacy Grant, Kate Luyben","A Chinese man travels to the Wild West to rescue a kidnapped Princess. After teaming up with a train robber, the unlikely duo takes on a Chinese traitor and his corrupt boss.",6.6,117582,5.5e+07,99274467,297,44274467,0.0173181730355252,0.0282076199417483,0.00673565013666536,0,20,0.0464375647675366,0.0148668521590825
"Frequency",2000-11-10,"Crime, Drama, Mystery",118,"USA","English","Gregory Hoblit","Toby Emmerich","Dennis Quaid, Jim Caviezel, Shawn Doyle, Elizabeth Mitchell, Andre Braugher, Noah Emmerich, Melissa Errico, Daniel Henson, Jordan Bridges, Stephen Joffe, Jack McCormack, Peter MacNeill, Michael Cera, Marin Hinkle, Richard Sali","An accidental cross-time radio link connects father and son across 30 years. The son tries to save his father's life, but then must fix the consequences.",7.3,99464,3.1e+07,68106245,547,37106245,0.0145108317312268,0.0199182316215595,0.031140179617337,0.291666666666667,20,0.348726174430307,0.120783847195548
"The Patriot",2000-08-25,"Action, Drama, History",165,"USA, Germany","English","Roland Emmerich","Robert Rodat","Mel Gibson, Heath Ledger, Joely Richardson, Jason Isaacs, Chris Cooper, Tchéky Karyo, Rene Auberjonois, Lisa Brenner, Tom Wilkinson, Donal Logue, Leon Rippy, Adam Baldwin, Jay Arlen Jones, Joey D. Vieira, Gregory Smith","Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.",7.2,250764,1.1e+08,215294342,1196,105294342,0.0412158167567473,0.0891413496723683,0.0944943381491605,0.25,20,0.444245556608021,0.154252279695501
"Blade II",2002-08-16,"Action, Fantasy, Horror",117,"Germany, USA","English","Guillermo del Toro","Marv Wolfman, Gene Colan","Wesley Snipes, Kris Kristofferson, Ron Perlman, Leonor Varela, Norman Reedus, Thomas Kretschmann, Luke Goss, Matt Schulze, Danny John-Jules, Donnie Yen, Karel Roden, Marit Velle Kile, Tony Curran, Daz Crawford, Santiago Segura","Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires.",6.7,196524,5.4e+07,155010032,575,101010032,0.0395379222351464,0.0643253422495272,0.0338734869191722,0.0416666666666669,18,0.164423935654948,0.056207350809011
"The Whole Nine Yards",2000-10-06,"Comedy, Crime",98,"USA","English","Jonathan Lynn","Mitchell Kapner","Bruce Willis, Matthew Perry, Rosanna Arquette, Michael Clarke Duncan, Natasha Henstridge, Amanda Peet, Kevin Pollak, Harland Williams, Carmen Ferland, Serge Christiaenssens, Renee Madeline Le Guerrier, Jean-Guy Bouchard, Howard Bilerman, Johnny Goar, Deano Clavet","A struggling dentist's life is turned upside down when a famous gangster moves in next door, and his wife convinces him to inform a notorious mob boss about the gangster's whereabouts.",6.7,108581,41300000,106371651,321,65071651,0.0254631207863474,0.0240894620727772,0.00907848496680984,0.0416666666666669,20,0.0947697433193368,0.0318016586722471
"Wo hu cang long",2001-02-02,"Action, Adventure, Fantasy",120,"Taiwan, Hong Kong, USA, China","Mandarin","Ang Lee","Du Lu Wang, Hui-Ling Wang","Yun-Fat Chow, Michelle Yeoh, Ziyi Zhang, Chen Chang, Sihung Lung, Pei-Pei Cheng, Fazeng Li, Xian Gao, Yan Hai, Deming Wang, Li Li, Suying Huang, Jinting Zhang, Rui Yang, Kai Li","A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.",7.8,249561,1.7e+07,213525736,1673,196525736,0.0769454105981382,0.0885909503926914,0.141058180398282,0.5,19,0.769927873447696,0.268366047907459
"O Brother, Where Art Thou?",2000-11-10,"Adventure, Comedy, Crime",107,"UK, France, USA","English","Joel Coen, Ethan Coen","Homer, Ethan Coen","George Clooney, John Turturro, Tim Blake Nelson, John Goodman, Holly Hunter, Chris Thomas King, Charles Durning, Del Pentecost, Michael Badalucco, J.R. Horne, Brian Reddy, Wayne Duvall, Ed Gale, Ray McKinnon, Daniel von Bargen","In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",7.7,279523,2.6e+07,71868327,910,45868327,0.0179423876610305,0.102299232369151,0.0665755564232722,0.458333333333333,20,0.617004711654717,0.214784267943414
