"original_title","date_published","genre","duration","country","language_1","director","writer","actors","description","avg_vote","votes","budget","worlwide_gross_income","reviews_from_users","profit","profit_norm","votes_norm","reviews_norm","avg_vote_norm","age","success","success_norm"
"Revolutionary Road",2009-01-30,"Drama, Romance",119,"USA, UK","English","Sam Mendes","Justin Haythe, Richard Yates","Kate Winslet, Leonardo DiCaprio, Christopher Fitzgerald, Jonathan Roumie, Neal Bledsoe, Marin Ireland, Samantha Soule, Heidi Armbruster, Sam Rosen, Maria Rusolo, Gena Oppenheim, Kathryn Dunn, Joe Komara, Allison Twyford, David Harbour","A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children.",7.3,192030,3.5e+07,75981180,491,40981180,0.0160283998362564,0.0622692372097364,0.0256735650136665,0.291666666666667,11,0.386922816253737,0.134167327065779
"The Fighter",2011-03-04,"Biography, Drama, Sport",116,"USA","English","David O. Russell","Scott Silver, Paul Tamasy","Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo, Mickey O'Keefe, Jack McGee, Melissa McMeekin, Bianca Hunter, Erica McDermott, Jill Quigg, Dendrie Taylor, Kate B. O'Brien, Jenna Lamia, Frank Renzulli, Paul Campbell","In Victorian-era London, a troubled clairvoyant police detective investigates the murders of Jack the Ripper.",7.8,334145,2.5e+07,129190869,447,104190869,0.040783655848355,0.127290013295597,0.0213783678250683,0.5,9,0.6771766660508,0.235867538670069
"Hugo",2012-02-03,"Drama, Family, Fantasy",126,"UK, USA, France","English","Martin Scorsese","John Logan, Brian Selznick","Ben Kingsley, Sacha Baron Cohen, Asa Butterfield, Chloë Grace Moretz, Ray Winstone, Emily Mortimer, Christopher Lee, Helen McCrory, Michael Stuhlbarg, Frances de la Tour, Richard Griffiths, Jude Law, Kevin Eldon, Gulliver McGrath, Shaun Aylward","In 1931 Paris, an orphan living in the walls of a train station gets wrapped up in a mystery involving his late father and an automaton.",7.5,299666,1.5e+08,185770160,757,35770160,0.0139875713457988,0.111515103267349,0.0516399843811011,0.375,8,0.540057096946216,0.187823079646441
"Hitchcock",2013-04-04,"Biography, Drama, Romance",98,"USA, UK","English","Sacha Gervasi","John J. McLaughlin, Stephen Rebello","Anthony Hopkins, Helen Mirren, Scarlett Johansson, Danny Huston, Toni Collette, Michael Stuhlbarg, Michael Wincott, Jessica Biel, James D'Arcy, Richard Portnow, Kurtwood Smith, Ralph Macchio, Kai Lennox, Tara Summers, Wallace Langham","A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.",6.8,71041,15700000,27039669,236,11339669,0.00441968596660841,0.00691407640438746,0.000780944943381492,0.0833333333333334,7,0.0949446280361745,0.0318629354226544
"The Reader",2009-02-20,"Drama, Romance",124,"Germany, USA","English","Stephen Daldry","David Hare, Bernhard Schlink","Ralph Fiennes, Jeanette Hain, David Kross, Kate Winslet, Susanne Lothar, Alissa Wilms, Florian Bartholomäi, Friederike Becht, Matthias Habich, Frieder Venus, Marie-Anne Fliegel, Hendrik Arnst, Rainer Sellien, Torsten Michaelis, Moritz Grove","Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial.",7.6,227298,3.2e+07,108902486,436,76902486,0.0300965140824589,0.0784051323017121,0.0203045685279188,0.416666666666667,11,0.535690839154198,0.18629321417979
"The Adventures of Tintin",2011-10-28,"Animation, Action, Adventure",107,"USA, New Zealand, UK, France, Australia","English","Steven Spielberg","Hergé, Steven Moffat","Jamie Bell, Andy Serkis, Daniel Craig, Nick Frost, Simon Pegg, Daniel Mays, Gad Elmaleh, Toby Jones, Joe Starr, Enn Reitel, Mackenzie Crook, Tony Curran, Sonje Fortag, Cary Elwes, Phillip Rhys","Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.",7.3,213212,1.35e+08,373993951,499,238993951,0.0935775369593649,0.0719604737368497,0.026454509957048,0.291666666666667,9,0.475533179491993,0.165214952094575
"Machete",2011-05-06,"Action, Crime, Thriller",105,"USA","English","Ethan Maniquis, Robert Rodriguez","Robert Rodriguez, Álvaro Rodríguez","Danny Trejo, Robert De Niro, Jessica Alba, Steven Seagal, Michelle Rodriguez, Jeff Fahey, Cheech Marin, Don Johnson, Shea Whigham, Lindsay Lohan, Daryl Sabara, Gilbert Trejo, Ara Celi, Tom Savini, Billy Blair","After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss.",6.6,188404,10500000,45491656,409,34991656,0.0136826803372946,0.0606102614922729,0.0176688793440062,0,9,0.0854984058751654,0.0285531333535089
"Valkyrie",2009-01-30,"Drama, History, Thriller",121,"USA, Germany, Italy, Spain, France, Japan, UK","English","Bryan Singer","Christopher McQuarrie, Nathan Alexander","Tom Cruise, Kenneth Branagh, Bill Nighy, Tom Wilkinson, Carice van Houten, Thomas Kretschmann, Terence Stamp, Eddie Izzard, Kevin McNally, Christian Berkel, Jamie Parker, David Bamber, Tom Hollander, David Schofield, Kenneth Cranham","A dramatization of the July 20, 1944 assassination and political coup plot by desperate renegade German Army officers against",7.1,224844,7.5e+07,201545517,473,126545517,0.0495385642026793,0.0772823726738424,0.0239164388910582,0.208333333333333,11,0.349041998044932,0.120894506635412
"Sherlock Holmes",2009-12-25,"Action, Adventure, Mystery",128,"USA, Germany, UK, Australia","English","Guy Ritchie","Michael Robert Johnson, Anthony Peckham","Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong, Eddie Marsan, Robert Maillet, Geraldine James, Kelly Reilly, William Houston, Hans Matheson, James Fox, William Hope, Clive Russell, Oran Gurel, David Garrick","Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.",7.6,574055,9e+07,524028679,698,434028679,0.1699603621128,0.237054178871073,0.0458805154236626,0.416666666666667,11,0.841523149765715,0.293451864190347
"Hanna",2011-08-12,"Action, Drama, Thriller",111,"USA, UK, Germany","English","Joe Wright","Seth Lochhead, David Farr","Saoirse Ronan, Eric Bana, Vicky Krieps, Cate Blanchett, Paris Arrowsmith, John Macmillan, Tim Beckmann, Paul Birchard, Christian Malcolm, Jamie Beamish, Tom Hodgkins, Vincent Montuel, Nathan Nolan, Michelle Dockery, Jessica Barden","A sixteen-year-old girl who was raised by her father to be the perfect assassin is dispatched on a mission across Europe, tracked by a ruthless intelligence agent and her operatives.",6.8,188093,3e+07,63782078,514,33782078,0.0132089647799123,0.060467972069181,0.0279187817258883,0.0833333333333334,9,0.177631063062851,0.0608349126932292
